Category,name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity
Fruits,Product_564,79,20,143,63,775,1,6
Dairy,Product_565,355,40,127,213,446,0,3
Vegetables,Product_566,117,15,49,99,1748,1,10
Dairy,Product_567,74,15,144,63,1309,0,2
Dairy,Product_568,49,20,108,39,1291,1,7
Bakery,Product_569,415,10,8,374,1812,0,1
Snacks,Product_570,273,20,61,218,1935,0,2
Dairy,Product_571,118,5,41,112,669,1,1
Snacks,Product_572,206,15,87,175,1907,1,9
Vegetables,Product_573,320,15,183,272,1059,0,2
Fruits,Product_574,384,10,112,346,1613,1,9
Vegetables,Product_575,297,40,141,178,816,0,9
Bakery,Product_576,369,5,193,351,680,0,10
Bakery,Product_577,351,20,152,281,1200,0,10
Dairy,Product_578,61,5,8,58,514,0,7
Snacks,Product_579,196,20,16,157,440,0,4
Dairy,Product_580,275,30,155,192,1596,0,5
Vegetables,Product_581,386,20,8,309,1309,0,7
Vegetables,Product_582,26,5,169,25,117,0,7
Snacks,Product_583,269,20,12,215,1586,0,6
Vegetables,Product_584,357,15,27,303,1408,1,4
Dairy,Product_585,187,30,87,131,377,1,5
Fruits,Product_586,288,5,7,274,133,1,3
Vegetables,Product_587,471,20,43,377,1288,0,9
Vegetables,Product_588,171,25,109,128,1770,1,8
Beverages,Product_589,24,15,32,20,1084,0,1
Vegetables,Product_590,189,20,28,151,391,0,1
Beverages,Product_591,374,30,60,262,1344,0,9
Dairy,Product_592,222,5,154,211,1270,0,10
Beverages,Product_593,90,40,25,54,483,1,3
Fruits,Product_594,219,10,82,197,1748,0,7
Dairy,Product_595,390,25,100,292,1815,1,4
Dairy,Product_596,435,5,58,413,763,0,5
Vegetables,Product_597,417,50,5,208,1084,0,5
Vegetables,Product_598,417,30,158,292,1030,0,2
Fruits,Product_599,366,30,163,256,1187,1,7
Vegetables,Product_600,361,20,23,289,1494,0,9
Fruits,Product_601,471,5,29,447,1616,1,3
Beverages,Product_602,316,40,165,190,534,1,4
Fruits,Product_603,315,50,198,158,1476,1,8
Snacks,Product_604,435,20,91,348,1269,1,10
Beverages,Product_605,264,30,101,185,1030,1,3
Fruits,Product_606,42,50,163,21,1379,1,4
Bakery,Product_607,263,10,154,237,1022,1,7
Bakery,Product_608,366,20,21,293,570,0,4
Beverages,Product_609,169,15,192,144,294,0,4
Dairy,Product_610,104,40,140,62,162,1,10
Fruits,Product_611,417,10,18,375,752,1,7
Beverages,Product_612,498,50,1,249,812,0,8
Dairy,Product_613,178,30,108,125,1159,1,8
Dairy,Product_614,194,5,196,184,1992,0,8
Dairy,Product_615,443,5,195,421,1262,1,7
Bakery,Product_616,167,20,130,134,1989,0,7
Dairy,Product_617,193,15,57,164,1701,1,2
Bakery,Product_618,140,40,19,84,362,0,5
Vegetables,Product_619,182,15,65,155,1656,0,7
Vegetables,Product_620,406,40,145,244,1555,0,6
Vegetables,Product_621,214,30,80,150,1590,0,5
Fruits,Product_622,22,25,141,16,755,1,1
Beverages,Product_623,288,5,60,274,1845,0,2
Beverages,Product_624,300,30,157,210,1663,0,3
Fruits,Product_625,411,25,90,308,1387,0,3
Fruits,Product_626,409,20,122,327,658,0,1
Dairy,Product_627,196,25,153,147,1505,0,2
Snacks,Product_628,62,40,7,37,170,0,4
Snacks,Product_629,481,10,83,433,852,0,4
Fruits,Product_630,69,15,123,59,869,0,4
Fruits,Product_631,338,20,62,270,247,1,8
Snacks,Product_632,191,25,10,143,947,0,10
Dairy,Product_633,182,50,16,91,1026,1,9
Bakery,Product_634,263,5,54,250,1250,1,6
Vegetables,Product_635,323,30,193,226,500,0,7
Snacks,Product_636,306,5,136,291,1760,0,7
Vegetables,Product_637,406,30,9,284,1489,0,6
Fruits,Product_638,36,15,57,31,1798,0,10
Beverages,Product_639,197,20,33,158,866,1,4
Bakery,Product_640,165,25,23,124,1130,0,2
Snacks,Product_641,405,40,131,243,1331,1,10
Fruits,Product_642,126,10,124,113,1179,0,3
Fruits,Product_643,139,5,90,132,1682,0,9
Snacks,Product_644,92,40,170,55,704,1,2
Snacks,Product_645,184,50,182,92,974,1,10
Beverages,Product_646,291,30,30,204,604,0,4
Vegetables,Product_647,240,40,39,144,891,1,9
Bakery,Product_648,139,40,49,83,107,0,1
Vegetables,Product_649,485,40,1,291,1432,1,9
Beverages,Product_650,71,15,90,60,1453,1,2
Beverages,Product_651,72,5,197,68,477,0,2
Dairy,Product_652,354,15,43,301,679,0,6
Beverages,Product_653,28,5,127,27,1720,0,8
Fruits,Product_654,46,5,176,44,535,1,7
Vegetables,Product_655,331,5,26,314,1371,1,1
Fruits,Product_656,392,20,165,314,257,0,9
Fruits,Product_657,56,50,60,28,253,0,4
Vegetables,Product_658,281,40,89,169,161,1,8
Bakery,Product_659,146,15,167,124,1060,0,9
Dairy,Product_660,116,20,104,93,74,0,10
Fruits,Product_661,191,40,46,115,161,1,9
Dairy,Product_662,226,30,195,158,1109,0,1
Snacks,Product_663,389,5,69,370,484,0,3
Vegetables,Product_664,255,15,137,217,871,1,6
Dairy,Product_665,80,25,15,60,1053,1,9
Bakery,Product_666,192,5,98,182,244,1,1
Beverages,Product_667,216,30,96,151,356,0,4
Dairy,Product_668,338,40,184,203,687,1,10
Bakery,Product_669,154,20,26,123,389,1,6
Dairy,Product_670,380,50,188,190,676,1,9
Fruits,Product_671,328,10,68,295,1035,0,4
Snacks,Product_672,65,10,167,58,210,0,9
Bakery,Product_673,220,25,44,165,70,0,8
Snacks,Product_674,433,5,101,411,1181,0,4
Dairy,Product_675,364,5,91,346,633,0,2
Dairy,Product_676,282,25,4,212,304,1,9
Beverages,Product_677,356,25,43,267,648,0,2
Bakery,Product_678,63,10,95,57,294,0,6
Snacks,Product_679,417,40,6,250,737,0,6
Beverages,Product_680,482,40,33,289,1880,0,5
Vegetables,Product_681,489,20,158,391,963,0,7
Snacks,Product_682,266,15,153,226,1801,1,2
Bakery,Product_683,194,5,166,184,1821,1,3
Snacks,Product_684,499,30,61,349,314,1,1
Dairy,Product_685,108,20,130,86,665,1,1
Vegetables,Product_686,222,20,168,178,1231,0,6
Vegetables,Product_687,166,5,182,158,1013,0,10
Vegetables,Product_688,421,40,62,253,1250,0,7
Bakery,Product_689,327,10,95,294,788,1,4
Vegetables,Product_690,107,40,51,64,1216,0,9
Snacks,Product_691,375,50,197,188,1464,1,2
Vegetables,Product_692,115,20,135,92,948,1,2
Beverages,Product_693,157,25,75,118,352,1,3
Bakery,Product_694,89,10,136,80,181,1,5
Snacks,Product_695,445,25,83,334,478,0,1
Bakery,Product_696,98,15,43,83,1399,1,4
Vegetables,Product_697,69,5,131,66,218,1,7
Fruits,Product_698,474,20,59,379,267,0,7
Beverages,Product_699,402,25,11,302,1764,0,1
Vegetables,Product_700,42,50,68,21,177,0,1
Beverages,Product_701,343,30,177,240,1434,1,4
Beverages,Product_702,174,50,36,87,1740,0,3
Beverages,Product_703,42,40,128,25,1042,1,4
Snacks,Product_704,373,25,161,280,1784,0,1
Snacks,Product_705,53,25,159,40,479,0,7
Vegetables,Product_706,331,40,110,199,385,1,9
Dairy,Product_707,300,5,181,285,386,0,5
Beverages,Product_708,451,25,66,338,515,0,5
Bakery,Product_709,111,5,43,105,227,0,3
Bakery,Product_710,403,40,47,242,1893,0,9
Dairy,Product_711,421,15,39,358,805,1,10
Dairy,Product_712,431,30,12,302,1983,1,3
Beverages,Product_713,322,25,10,242,1775,1,9
Beverages,Product_714,118,20,66,94,1684,0,1
Vegetables,Product_715,55,50,47,28,1521,1,6
Fruits,Product_716,500,10,24,450,1095,0,1
Snacks,Product_717,206,40,145,124,1338,1,6
Vegetables,Product_718,97,25,23,73,579,1,3
Beverages,Product_719,247,50,179,124,1853,0,2
Beverages,Product_720,45,50,50,22,1497,1,4
Beverages,Product_721,110,25,6,82,1952,0,2
Bakery,Product_722,72,5,110,68,1131,0,3
Dairy,Product_723,230,25,197,172,1187,1,9
Snacks,Product_724,114,30,17,80,873,1,10
Beverages,Product_725,285,15,24,242,1076,0,1
Dairy,Product_726,475,30,146,332,1744,1,5
Vegetables,Product_727,219,15,95,186,1047,0,6
Beverages,Product_728,175,20,87,140,1342,0,8
Beverages,Product_729,308,20,22,246,986,0,2
Snacks,Product_730,213,5,190,202,1165,1,7
Beverages,Product_731,293,15,177,249,487,0,5
Fruits,Product_732,32,40,65,19,806,0,8
Beverages,Product_733,24,30,156,17,1870,0,10
Bakery,Product_734,38,20,3,30,604,1,3
Vegetables,Product_735,303,5,159,288,776,0,5
Snacks,Product_736,406,15,131,345,268,1,4
Beverages,Product_737,458,40,30,275,829,1,3
Snacks,Product_738,125,30,147,88,1538,0,7
Fruits,Product_739,319,25,40,239,1453,0,2
Vegetables,Product_740,307,30,151,215,337,0,9
Beverages,Product_741,426,25,96,320,262,0,1
Dairy,Product_742,107,50,59,54,1340,0,7
Snacks,Product_743,221,15,160,188,1665,0,1
Bakery,Product_744,437,50,163,218,118,0,2
Bakery,Product_745,33,50,44,16,963,0,2
Vegetables,Product_746,48,20,26,38,1358,0,3
Bakery,Product_747,257,5,151,244,1659,0,9
Bakery,Product_748,491,40,24,295,1606,0,3
Bakery,Product_749,165,40,30,99,1105,0,1
Fruits,Product_750,353,15,198,300,1843,1,8
Dairy,Product_751,461,15,94,392,1757,0,4
Bakery,Product_752,443,50,54,222,650,1,9
Fruits,Product_753,428,20,99,342,132,1,8
Snacks,Product_754,428,40,172,257,1466,0,7
Fruits,Product_755,27,50,122,14,1340,1,4
Vegetables,Product_756,28,40,16,17,665,0,3
Dairy,Product_757,331,20,136,265,1954,0,4
Bakery,Product_758,91,30,69,64,872,0,7
Beverages,Product_759,473,40,56,284,1080,0,3
Beverages,Product_760,100,15,97,85,961,1,3
Dairy,Product_761,203,50,99,102,161,1,2
Fruits,Product_762,174,10,193,157,1435,0,9
Snacks,Product_763,272,25,129,204,368,0,1
Fruits,Product_764,28,5,115,27,1904,0,3
Dairy,Product_765,259,20,4,207,892,0,2
Fruits,Product_766,60,30,7,42,1907,0,7
Dairy,Product_767,376,40,178,226,1677,0,5
Bakery,Product_768,167,40,62,100,680,1,2
Snacks,Product_769,29,5,11,28,527,1,1
Fruits,Product_770,254,5,62,241,1739,0,3
Bakery,Product_771,151,5,95,143,689,0,3
Snacks,Product_772,268,20,100,214,1449,1,8
Vegetables,Product_773,256,10,175,230,775,1,10
Snacks,Product_774,259,10,8,233,848,0,10
Beverages,Product_775,70,5,76,66,1315,1,9
Beverages,Product_776,406,25,81,304,1632,0,9
Snacks,Product_777,407,25,115,305,430,1,4
Fruits,Product_778,426,30,133,298,267,1,6
Dairy,Product_779,93,20,95,74,1038,1,10
Beverages,Product_780,127,25,47,95,1829,1,1
Fruits,Product_781,436,15,34,371,1765,1,10
Vegetables,Product_782,213,10,166,192,670,1,5
Snacks,Product_783,250,50,80,125,298,1,7
Beverages,Product_784,268,40,140,161,246,0,10
Snacks,Product_785,166,25,160,124,458,1,8
Vegetables,Product_786,67,50,56,34,597,0,7
Vegetables,Product_787,470,5,75,446,1873,1,2
Dairy,Product_788,421,15,108,358,1811,1,8
Snacks,Product_789,259,20,35,207,884,1,5
Snacks,Product_790,296,5,119,281,1612,1,1
Beverages,Product_791,393,10,48,354,1983,1,5
Dairy,Product_792,20,30,140,14,192,0,4
Vegetables,Product_793,205,30,32,144,209,0,8
Beverages,Product_794,155,30,174,108,1006,0,1
Vegetables,Product_795,119,15,63,101,1977,1,7
Snacks,Product_796,106,5,180,101,1244,0,5
Beverages,Product_797,321,20,31,257,225,1,7
Bakery,Product_798,284,40,170,170,488,1,1
Beverages,Product_799,286,30,196,200,1175,0,6
Bakery,Product_800,425,40,73,255,192,0,1
Dairy,Product_801,388,25,185,291,1673,1,5
Vegetables,Product_802,98,15,122,83,733,1,2
Fruits,Product_803,246,15,61,209,1892,0,10
Bakery,Product_804,498,50,84,249,270,1,3
Beverages,Product_805,443,10,32,399,876,0,5
Vegetables,Product_806,393,10,50,354,1335,1,9
Fruits,Product_807,495,10,132,446,1919,0,6
Fruits,Product_808,405,25,116,304,1926,1,8
Snacks,Product_809,166,25,19,124,907,1,2
Fruits,Product_810,372,15,175,316,405,1,3
Fruits,Product_811,40,25,156,30,772,1,10
Fruits,Product_812,128,5,82,122,967,0,1
Snacks,Product_813,436,10,114,392,1287,1,9
Dairy,Product_814,429,25,129,322,514,0,7
Vegetables,Product_815,285,25,157,214,1773,1,5
Bakery,Product_816,457,40,74,274,880,0,9
Beverages,Product_817,263,50,71,132,1498,1,8
Dairy,Product_818,152,10,167,137,409,0,5
Bakery,Product_819,39,15,192,33,1469,1,7
Bakery,Product_820,28,15,24,24,257,0,8
Fruits,Product_821,392,15,30,333,1005,0,9
Dairy,Product_822,404,20,186,323,1192,1,6
Fruits,Product_823,70,25,10,52,1438,0,4
Fruits,Product_824,497,20,21,398,1396,1,1
Bakery,Product_825,228,20,87,182,1704,0,1
Vegetables,Product_826,470,40,181,282,1569,1,4
Fruits,Product_827,178,50,34,89,1765,1,10
Fruits,Product_828,129,30,1,90,1986,0,9
Vegetables,Product_829,499,25,56,374,1656,1,2
Dairy,Product_830,413,40,92,248,969,0,5
Beverages,Product_831,161,25,1,121,401,0,9
Bakery,Product_832,303,25,143,227,932,1,8
Snacks,Product_833,252,5,45,239,1768,1,5
Bakery,Product_834,145,5,116,138,1086,1,3
Fruits,Product_835,23,20,9,18,1412,1,5
Vegetables,Product_836,98,5,85,93,1383,0,7
Fruits,Product_837,122,15,94,104,237,1,9
Vegetables,Product_838,419,30,17,293,680,1,7
Bakery,Product_839,327,15,8,278,915,1,3
Snacks,Product_840,137,50,111,68,1676,1,9
Dairy,Product_841,204,5,123,194,1949,1,3
Bakery,Product_842,306,15,48,260,1239,0,7
Beverages,Product_843,160,5,59,152,775,0,8
Vegetables,Product_844,284,30,187,199,859,0,6
Beverages,Product_845,41,40,19,25,1994,0,9
Snacks,Product_846,243,50,137,122,414,0,3
Beverages,Product_847,228,5,39,217,1083,1,8
Snacks,Product_848,497,10,185,447,995,1,1
Beverages,Product_849,105,30,190,74,1100,1,1
Dairy,Product_850,354,10,8,319,1232,1,4
Fruits,Product_851,209,25,90,157,1122,0,8
Dairy,Product_852,277,15,180,235,852,1,8
Vegetables,Product_853,123,10,83,111,1330,1,6
Bakery,Product_854,393,5,96,373,387,0,6
Beverages,Product_855,478,40,140,287,941,0,9
Snacks,Product_856,376,20,148,301,1732,0,3
Dairy,Product_857,154,40,35,92,791,1,3
Beverages,Product_858,292,25,121,219,1361,0,1
Snacks,Product_859,304,30,38,213,158,0,6
Dairy,Product_860,479,15,167,407,356,0,7
Vegetables,Product_861,191,5,72,181,1496,1,3
Vegetables,Product_862,411,5,56,390,842,1,1
Bakery,Product_863,132,5,51,125,1515,0,9
Beverages,Product_864,494,5,96,469,1250,1,6
Vegetables,Product_865,362,40,39,217,1583,1,7
Bakery,Product_866,119,50,181,60,1136,0,9
Vegetables,Product_867,269,30,28,188,288,1,4
Snacks,Product_868,484,30,123,339,1316,0,8
Fruits,Product_869,61,20,2,49,809,0,2
Dairy,Product_870,128,50,15,64,1185,0,7
Beverages,Product_871,484,15,28,411,1457,1,1
Fruits,Product_872,300,25,49,225,1909,1,5
Snacks,Product_873,384,10,97,346,1129,1,7
Snacks,Product_874,224,40,29,134,1891,0,7
Vegetables,Product_875,408,20,150,326,1017,1,1
Dairy,Product_876,462,10,17,416,916,1,3
Dairy,Product_877,276,5,194,262,1275,1,6
Vegetables,Product_878,265,25,167,199,389,1,1
Vegetables,Product_879,349,10,153,314,226,0,2
Snacks,Product_880,166,20,20,133,690,1,9
Vegetables,Product_881,384,30,11,269,76,1,6
Vegetables,Product_882,391,25,83,293,929,0,9
Snacks,Product_883,195,5,120,185,1461,1,10
Beverages,Product_884,103,10,17,93,206,0,1
Beverages,Product_885,286,5,112,272,1882,0,1
Beverages,Product_886,310,10,66,279,1688,0,7
Fruits,Product_887,251,30,25,176,913,0,5
Fruits,Product_888,377,25,16,283,1724,1,10
Beverages,Product_889,34,30,95,24,1119,1,2
Beverages,Product_890,468,5,67,445,809,1,1
Dairy,Product_891,397,25,180,298,219,1,8
Bakery,Product_892,93,5,124,88,638,1,2
Bakery,Product_893,321,40,119,193,328,1,10
Bakery,Product_894,201,10,138,181,1208,1,4
Bakery,Product_895,231,5,123,219,1510,0,9
Vegetables,Product_896,21,10,194,19,1819,0,9
Bakery,Product_897,439,40,33,263,1470,0,9
Vegetables,Product_898,277,5,187,263,481,0,8
Fruits,Product_899,434,25,182,326,1895,1,3
Beverages,Product_900,111,15,66,94,1012,0,6
Snacks,Product_901,289,10,54,260,758,0,7
Beverages,Product_902,128,5,192,122,1566,0,6
Dairy,Product_903,130,5,134,124,1656,1,9
Beverages,Product_904,153,5,143,145,1081,1,9
Dairy,Product_905,304,30,157,213,184,0,2
Bakery,Product_906,377,30,42,264,1682,1,4
Bakery,Product_907,476,5,46,452,1224,0,6
Fruits,Product_908,425,5,38,404,1574,1,7
Dairy,Product_909,26,5,7,25,545,1,5
Snacks,Product_910,293,5,157,278,1126,1,9
Snacks,Product_911,426,10,173,383,366,0,1
Vegetables,Product_912,373,20,102,298,1915,1,8
Beverages,Product_913,192,10,39,173,1632,1,1
Dairy,Product_914,110,50,31,55,768,1,1
Fruits,Product_915,160,25,45,120,1897,1,7
Fruits,Product_916,49,50,14,24,351,0,7
Dairy,Product_917,217,40,14,130,646,0,7
Bakery,Product_918,51,25,191,38,1455,0,5
Snacks,Product_919,291,40,19,175,1974,0,2
Dairy,Product_920,432,20,20,346,1209,0,6
Beverages,Product_921,327,20,119,262,1198,0,1
Snacks,Product_922,177,5,123,168,1577,0,4
Fruits,Product_923,345,30,172,242,438,0,1
Bakery,Product_924,188,15,164,160,1150,0,4
Beverages,Product_925,422,25,154,316,478,1,4
Snacks,Product_926,141,20,79,113,123,0,9
Fruits,Product_927,194,30,72,136,632,0,6
Fruits,Product_928,348,10,58,313,588,1,5
Snacks,Product_929,68,50,86,34,1852,0,6
Vegetables,Product_930,121,15,24,103,1495,1,8
Beverages,Product_931,48,5,143,46,1720,0,3
Fruits,Product_932,310,40,14,186,605,0,3
Bakery,Product_933,444,25,4,333,1033,1,3
Beverages,Product_934,432,5,144,410,1921,0,7
Vegetables,Product_935,307,15,129,261,1803,0,5
Snacks,Product_936,31,50,192,16,863,1,1
Bakery,Product_937,141,15,113,120,1857,0,7
Fruits,Product_938,72,50,191,36,1780,0,7
Dairy,Product_939,25,25,83,19,1543,0,3
Vegetables,Product_940,205,10,48,184,1223,0,8
Fruits,Product_941,27,30,102,19,252,1,8
Fruits,Product_942,115,30,142,80,59,0,3
Fruits,Product_943,297,25,108,223,1156,1,1
Vegetables,Product_944,78,20,3,62,1670,0,3
Beverages,Product_945,452,15,43,384,1309,1,5
Beverages,Product_946,380,5,30,361,1288,1,5
Bakery,Product_947,440,10,179,396,1279,1,4
Beverages,Product_948,436,25,100,327,1844,0,2
Bakery,Product_949,385,10,62,346,61,0,9
Fruits,Product_950,43,40,105,26,163,0,2
Fruits,Product_951,369,50,24,184,1606,0,1
Vegetables,Product_952,344,25,42,258,1835,1,7
Dairy,Product_953,183,50,148,92,1347,1,4
Vegetables,Product_954,280,30,67,196,569,1,10
Dairy,Product_955,170,25,52,128,444,0,1
Dairy,Product_956,74,20,10,59,733,1,4
Snacks,Product_957,147,20,110,118,365,1,6
Dairy,Product_958,305,20,61,244,1941,1,4
Vegetables,Product_959,327,25,147,245,1862,0,7
Snacks,Product_960,385,40,169,231,397,1,3
Vegetables,Product_961,188,25,63,141,1938,0,8
Snacks,Product_962,24,40,195,14,1507,1,10
Dairy,Product_963,385,10,8,346,607,1,8
Fruits,Product_964,246,15,127,209,1667,0,7
Bakery,Product_965,448,20,81,358,1751,0,6
Dairy,Product_966,264,15,17,224,928,0,9
Bakery,Product_967,442,5,39,420,186,0,9
Beverages,Product_968,333,20,55,266,1262,0,4
Fruits,Product_969,32,50,65,16,1282,0,3
Fruits,Product_970,233,30,69,163,1331,1,7
Fruits,Product_971,87,5,175,83,1160,1,1
Beverages,Product_972,248,30,159,174,815,0,5
Dairy,Product_973,190,40,188,114,1854,0,9
Vegetables,Product_974,372,30,100,260,1211,0,4
Vegetables,Product_975,294,10,144,265,631,0,10
Dairy,Product_976,23,10,121,21,71,1,6
Beverages,Product_977,74,25,146,56,412,1,3
Snacks,Product_978,65,40,65,39,86,0,10
Vegetables,Product_979,270,5,84,256,1645,1,1
Dairy,Product_980,285,20,38,228,1061,1,3
Snacks,Product_981,102,50,194,51,478,1,10
Vegetables,Product_982,218,30,80,153,1637,0,3
Dairy,Product_983,407,20,67,326,646,0,10
Dairy,Product_984,68,5,179,65,1472,1,3
Dairy,Product_985,300,25,57,225,61,1,5
Bakery,Product_986,228,15,41,194,241,1,5
Dairy,Product_987,439,20,72,351,691,0,3
Fruits,Product_988,378,25,137,284,1755,1,6
Snacks,Product_989,149,15,193,127,371,0,2
Vegetables,Product_990,57,15,37,48,1597,1,4
Fruits,Product_991,232,25,23,174,820,0,4
Fruits,Product_992,229,25,76,172,75,1,1
Fruits,Product_993,349,30,195,244,1797,1,4
Beverages,Product_994,405,15,87,344,849,1,6
Vegetables,Product_995,344,10,175,310,1860,1,6
Fruits,Product_996,106,50,54,53,195,1,1
Bakery,Product_997,364,25,66,273,890,0,6
Bakery,Product_998,370,50,188,185,919,0,3
Fruits,Product_999,493,15,69,419,307,0,9
Vegetables,Product_1000,190,40,129,114,1931,1,9
Bakery,Product_1001,302,5,37,287,1415,0,5
Bakery,Product_1002,186,5,33,177,1290,1,1
Snacks,Product_1003,22,15,97,19,1623,0,1
Bakery,Product_1004,97,30,66,68,1493,0,7
Vegetables,Product_1005,79,30,58,55,1774,1,4
Snacks,Product_1006,141,20,46,113,1924,1,6
Dairy,Product_1007,95,50,35,48,90,0,2
Bakery,Product_1008,411,15,119,349,1893,0,10
Snacks,Product_1009,444,30,61,311,843,0,3
Beverages,Product_1010,285,25,181,214,1703,0,9
Vegetables,Product_1011,212,10,72,191,1141,1,6
Vegetables,Product_1012,293,15,169,249,527,1,4
Bakery,Product_1013,421,15,64,358,965,0,9
Fruits,Product_1014,220,20,141,176,344,0,1
Snacks,Product_1015,53,30,105,37,964,0,7
Dairy,Product_1016,94,5,98,89,617,0,5
Beverages,Product_1017,376,50,150,188,1629,0,2
Fruits,Product_1018,82,20,135,66,395,1,1
Vegetables,Product_1019,386,50,37,193,1327,1,7
Beverages,Product_1020,460,20,52,368,659,0,3
Snacks,Product_1021,164,50,166,82,638,1,7
Vegetables,Product_1022,131,10,59,118,1142,0,3
Bakery,Product_1023,334,50,83,167,1559,0,8
Bakery,Product_1024,374,15,162,318,1646,0,7
Bakery,Product_1025,264,50,39,132,194,0,9
Beverages,Product_1026,261,5,148,248,73,1,5
Dairy,Product_1027,339,20,150,271,1664,1,4
Bakery,Product_1028,348,15,19,296,408,0,7
Beverages,Product_1029,261,10,25,235,1202,1,2
Fruits,Product_1030,316,20,126,253,305,1,10
Fruits,Product_1031,427,40,186,256,1177,1,7
Bakery,Product_1032,133,25,163,100,1220,1,6
Beverages,Product_1033,449,15,5,382,1134,0,1
Fruits,Product_1034,384,5,41,365,1974,0,9
Vegetables,Product_1035,316,15,48,269,1455,0,8
Beverages,Product_1036,272,25,18,204,546,0,9
Beverages,Product_1037,401,30,88,281,1195,0,2
Beverages,Product_1038,119,40,166,71,1458,0,7
Vegetables,Product_1039,437,5,200,415,976,0,5
Beverages,Product_1040,486,20,46,389,1265,0,1
Beverages,Product_1041,221,30,157,155,969,0,8
Beverages,Product_1042,166,40,126,100,1984,0,6
Snacks,Product_1043,435,20,27,348,1767,1,9
Snacks,Product_1044,405,50,41,202,1992,0,6
Beverages,Product_1045,91,10,37,82,966,0,1
Beverages,Product_1046,94,5,122,89,1449,0,6
Snacks,Product_1047,416,20,137,333,627,1,4
Bakery,Product_1048,36,15,147,31,644,1,2
Vegetables,Product_1049,364,5,86,346,1677,1,9
Snacks,Product_1050,308,10,147,277,889,1,4
Snacks,Product_1051,209,15,100,178,977,0,10
Dairy,Product_1052,378,40,68,227,625,0,7
Vegetables,Product_1053,350,5,122,332,609,0,5
Fruits,Product_1054,118,25,114,88,1688,1,6
Fruits,Product_1055,161,5,2,153,475,1,9
Bakery,Product_1056,81,30,5,57,78,1,6
Bakery,Product_1057,347,25,86,260,1803,0,2
Bakery,Product_1058,329,20,115,263,1455,1,8
Dairy,Product_1059,69,25,143,52,765,0,3
Dairy,Product_1060,147,40,68,88,844,1,7
Vegetables,Product_1061,247,40,169,148,1463,0,8
Snacks,Product_1062,206,50,87,103,768,0,10
Snacks,Product_1063,417,50,61,208,1659,0,6
Beverages,Product_1064,229,40,3,137,436,1,10
Dairy,Product_1065,247,30,39,173,1057,1,7
Snacks,Product_1066,139,20,179,111,219,0,4
Vegetables,Product_1067,336,10,197,302,785,0,9
Vegetables,Product_1068,191,50,29,96,1239,1,5
Snacks,Product_1069,430,15,165,366,92,1,7
Vegetables,Product_1070,49,30,93,34,1416,1,3
Bakery,Product_1071,145,10,94,130,1763,0,6
Fruits,Product_1072,165,50,54,82,1428,1,3
Fruits,Product_1073,370,10,14,333,1056,0,7
Snacks,Product_1074,180,15,127,153,763,0,8
Snacks,Product_1075,111,40,146,67,1939,0,5
Bakery,Product_1076,441,25,46,331,1026,0,10
Vegetables,Product_1077,235,50,54,118,500,1,5
Snacks,Product_1078,76,20,122,61,284,0,8
Vegetables,Product_1079,323,25,170,242,1123,0,1
Snacks,Product_1080,34,40,29,20,1698,0,2
Beverages,Product_1081,318,5,26,302,880,1,6
Beverages,Product_1082,311,30,71,218,202,1,3
Vegetables,Product_1083,328,25,180,246,1502,1,4
Bakery,Product_1084,56,25,92,42,1461,1,4
Snacks,Product_1085,393,20,99,314,454,0,8
Fruits,Product_1086,356,25,136,267,787,1,8
Snacks,Product_1087,85,10,119,76,1682,0,5
Dairy,Product_1088,373,15,162,317,1993,0,2
Dairy,Product_1089,415,10,199,374,1754,0,6
Snacks,Product_1090,183,30,3,128,1532,1,2
Bakery,Product_1091,198,20,124,158,1926,0,6
Vegetables,Product_1092,457,50,4,228,1268,0,4
Bakery,Product_1093,116,20,160,93,1856,0,4
Bakery,Product_1094,316,30,149,221,1908,1,1
Dairy,Product_1095,78,30,179,55,1004,0,10
Snacks,Product_1096,116,5,28,110,1279,0,3
Snacks,Product_1097,33,25,65,25,1512,0,8
Beverages,Product_1098,23,5,3,22,1194,1,6
Beverages,Product_1099,69,5,66,66,1798,1,5
Snacks,Product_1100,449,5,140,427,1257,0,9
Bakery,Product_1101,158,20,21,126,257,0,4
Dairy,Product_1102,213,15,178,181,1516,1,5
Dairy,Product_1103,33,20,129,26,1431,1,5
Fruits,Product_1104,221,30,73,155,1039,0,2
Snacks,Product_1105,334,15,153,284,427,1,5
Dairy,Product_1106,322,10,110,290,230,1,9
Beverages,Product_1107,175,15,136,149,701,0,5
Snacks,Product_1108,445,40,87,267,1481,0,9
Vegetables,Product_1109,234,20,25,187,178,1,3
Vegetables,Product_1110,268,20,156,214,946,1,9
Beverages,Product_1111,31,40,167,19,1357,1,2
Fruits,Product_1112,452,15,69,384,637,1,2
Dairy,Product_1113,104,50,126,52,1130,1,4
Dairy,Product_1114,359,20,34,287,1464,1,2
Beverages,Product_1115,185,15,161,157,188,0,9
Fruits,Product_1116,354,15,58,301,459,0,4
Dairy,Product_1117,354,5,116,336,1245,1,4
Beverages,Product_1118,483,40,3,290,1525,1,8
Beverages,Product_1119,188,40,103,113,1614,0,3
Dairy,Product_1120,475,50,141,238,678,1,5
Fruits,Product_1121,32,15,2,27,1336,0,8
Dairy,Product_1122,389,25,91,292,1002,1,1
